policy,family,causal_online,write_budget,read_budget,release_mode,release_age,phase_variant,behavior_arm,clean_first,sector_age,disable_aged,native_age,one_sector,pending_mode,dirty_update_includes_atomic_rmw
disabled,ordinary_lru,1,16,16,0,0,0,0,0,0,0,0,0,0,1
fixed_q7,fixed_quota,1,7,16,0,0,0,0,0,0,0,0,0,0,1
fixed_q8,fixed_quota,1,8,16,0,0,0,0,0,0,0,0,0,0,1
clean_q1,clean_first_quota,1,1,16,0,0,0,0,1,0,0,0,0,0,1
clean_q2,clean_first_quota,1,2,16,0,0,0,0,1,0,0,0,0,0,1
clean_q3,clean_first_quota,1,3,16,0,0,0,0,1,0,0,0,0,0,1
clean_q4,clean_first_quota,1,4,16,0,0,0,0,1,0,0,0,0,0,1
clean_q5,clean_first_quota,1,5,16,0,0,0,0,1,0,0,0,0,0,1
clean_q6,clean_first_quota,1,6,16,0,0,0,0,1,0,0,0,0,0,1
clean_q7,clean_first_quota,1,7,16,0,0,0,0,1,0,0,0,0,0,1
clean_q8,clean_first_quota,1,8,16,0,0,0,0,1,0,0,0,0,0,1
clean_q16,clean_first_quota,1,16,16,0,0,0,0,1,0,0,0,0,0,1
store8_read7,legacy_asymmetric_quota,1,8,7,0,0,0,0,0,0,0,0,0,0,1
store8to7_read7,legacy_hysteresis_quota,1,8,7,0,0,0,0,0,0,0,0,0,0,1
clean_q2_h1,clean_first_read_pressure,1,2,16,1,1,0,0,1,0,0,0,0,0,1
clean_q2_h4,clean_first_read_pressure,1,2,16,1,4,0,0,1,0,0,0,0,0,1
clean_q2_h8,clean_first_read_pressure,1,2,16,1,8,0,0,1,0,0,0,0,0,1
clean_q2_h16,clean_first_read_pressure,1,2,16,1,16,0,0,1,0,0,0,0,0,1
read_allocation_age8_clean_retained_v1,read_allocation_age,1,16,16,0,8,0,0,0,0,0,1,0,0,1
read_allocation_age8_one_sector_v1,read_allocation_age_sector,1,16,16,0,8,0,0,0,0,0,1,1,0,1
select_at8_emit_next_distinct_line_v1,pending_selection,1,16,16,0,0,0,0,0,0,0,0,0,1,1
overflow_armed_pending8_next_distinct_line_v1,pending_overflow,1,16,16,0,0,0,0,0,0,0,0,0,2,1
selected8_cancel_on_victim_store_v1,pending_cancel,1,16,16,0,0,0,0,0,0,0,0,0,3,1
phase0,phase_release,1,4,16,1,16,0,0,1,0,0,0,0,0,1
phase1,phase_release,1,4,16,1,16,1,0,1,0,0,0,0,0,1
phase2,phase_release,1,4,16,1,16,2,0,1,0,0,0,0,0,1
phase3,phase_release,1,4,16,1,16,3,0,1,0,0,0,0,0,1
phase4,phase_release,1,4,16,1,16,4,0,1,0,0,0,0,0,1
phase5,phase_release,1,4,16,1,16,5,0,1,0,0,0,0,0,1
phase6,phase_release,1,4,16,1,16,6,0,1,0,0,0,0,0,1
phase7,phase_release,1,4,16,1,16,7,0,1,0,0,0,0,0,1
phase8,phase_release,1,4,16,1,16,8,0,1,0,0,0,0,0,1
phase9,phase_release,1,4,16,1,16,9,0,1,0,0,0,0,0,1
phase10,phase_release,1,4,16,1,16,10,0,1,0,0,0,0,0,1
phase11,phase_release,1,4,16,1,16,11,0,1,0,0,0,0,0,1
phase12,phase_release,1,4,16,1,16,12,0,1,0,0,0,0,0,1
phase13,phase_release,1,4,16,1,16,13,0,1,0,0,0,0,0,1
phase14,phase_release,1,4,16,1,16,14,0,1,0,0,0,0,0,1
phase15,phase_release,1,4,16,1,16,15,0,1,0,0,0,0,0,1
phase11_lru,phase_release_lru_victim,1,4,16,1,16,11,0,0,0,0,0,0,0,1
phase11_arm1,phase_release_behavior_arm,1,4,16,1,16,11,1,1,0,0,0,0,0,1
phase11_arm2,phase_release_behavior_arm,1,4,16,1,16,11,2,1,0,0,0,0,0,1
phase11_arm3,phase_release_behavior_arm,1,4,16,1,16,11,3,1,0,0,0,0,0,1
phase11_sector_age,phase_release_sector_age,1,4,16,1,16,11,0,1,1,0,0,0,0,1
phase11_disable_aged,phase_release_early_only,1,4,16,1,16,11,0,1,0,1,0,0,0,1
