policy,kernel_id,requests,source_read_sectors,source_write_sectors,source_atomic_sectors,dirty_update_sectors,read_hits,read_misses,atomic_hits,atomic_misses,read_B,write_B,victim_lines,dirty_entry,dirty_created,redirty,dirty_evicted,cleaned_retained,dirty_exit,request_digest,tag_digest,read_state_equal,outcome_differences,victim_tag_differences,incomplete_victim_sectors,missing_victim_bytes,residual_B
disabled,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1229824,141312,0,143360,0,38432,0,104928,13435660205288060419,13919902890688087943,NOT_CHECKED,0,0,0,0,0
select_at8_emit_next_distinct_line_v1,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1229824,141312,0,143360,0,38432,0,104928,13435660205288060419,13919902890688087943,NOT_CHECKED,0,0,0,0,0
overflow_armed_pending8_next_distinct_line_v1,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1229824,141312,0,143360,0,38432,0,104928,13435660205288060419,13919902890688087943,NOT_CHECKED,0,0,0,0,0
selected8_cancel_on_victim_store_v1,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1229824,141312,0,143360,0,38432,0,104928,13435660205288060419,13919902890688087943,NOT_CHECKED,0,0,0,0,0
disabled,2,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
select_at8_emit_next_distinct_line_v1,2,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
overflow_armed_pending8_next_distinct_line_v1,2,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
selected8_cancel_on_victim_store_v1,2,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
disabled,3,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,221184,172272,24576,0,0,0,196848,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
select_at8_emit_next_distinct_line_v1,3,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,221184,172272,24576,0,0,0,196848,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
