policy,producer,trigger,reason,sectors,bytes,queue,admission,completion
disabled,1,1,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,1,2,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,1,5,tag_eviction,100592,3218944,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,2,5,tag_eviction,71680,2293760,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,3,5,tag_eviction,24576,786432,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,4,5,tag_eviction,12288,393216,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,5,5,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,5,6,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,1,1,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,1,2,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,1,5,tag_eviction,100592,3218944,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,2,5,tag_eviction,71680,2293760,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,3,5,tag_eviction,24576,786432,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,4,5,tag_eviction,12288,393216,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,5,5,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
select_at8_emit_next_distinct_line_v1,5,6,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,1,1,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,1,2,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,1,5,tag_eviction,100592,3218944,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,2,5,tag_eviction,71680,2293760,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,3,5,tag_eviction,24576,786432,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,4,5,tag_eviction,12288,393216,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,5,5,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
overflow_armed_pending8_next_distinct_line_v1,5,6,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,1,1,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,1,2,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,1,5,tag_eviction,100592,3218944,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,2,5,tag_eviction,71680,2293760,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,3,5,tag_eviction,24576,786432,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,4,5,tag_eviction,12288,393216,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,5,5,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
selected8_cancel_on_victim_store_v1,5,6,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
