policy,producer,writes,superseded,emitted,resident,residual
disabled,1,143360,0,143360,0,0
disabled,2,77824,6144,71680,0,0
disabled,3,24576,0,24576,0,0
disabled,4,12288,0,12288,0,0
disabled,5,143360,0,42768,100592,0
disabled,6,77824,6144,0,71680,0
disabled,7,24576,0,0,24576,0
disabled,8,12288,0,0,12288,0
select_at8_emit_next_distinct_line_v1,1,143360,0,143360,0,0
select_at8_emit_next_distinct_line_v1,2,77824,6144,71680,0,0
select_at8_emit_next_distinct_line_v1,3,24576,0,24576,0,0
select_at8_emit_next_distinct_line_v1,4,12288,0,12288,0,0
select_at8_emit_next_distinct_line_v1,5,143360,0,42768,100592,0
select_at8_emit_next_distinct_line_v1,6,77824,6144,0,71680,0
select_at8_emit_next_distinct_line_v1,7,24576,0,0,24576,0
select_at8_emit_next_distinct_line_v1,8,12288,0,0,12288,0
overflow_armed_pending8_next_distinct_line_v1,1,143360,0,143360,0,0
overflow_armed_pending8_next_distinct_line_v1,2,77824,6144,71680,0,0
overflow_armed_pending8_next_distinct_line_v1,3,24576,0,24576,0,0
overflow_armed_pending8_next_distinct_line_v1,4,12288,0,12288,0,0
overflow_armed_pending8_next_distinct_line_v1,5,143360,0,42768,100592,0
overflow_armed_pending8_next_distinct_line_v1,6,77824,6144,0,71680,0
overflow_armed_pending8_next_distinct_line_v1,7,24576,0,0,24576,0
overflow_armed_pending8_next_distinct_line_v1,8,12288,0,0,12288,0
selected8_cancel_on_victim_store_v1,1,143360,0,143360,0,0
selected8_cancel_on_victim_store_v1,2,77824,6144,71680,0,0
selected8_cancel_on_victim_store_v1,3,24576,0,24576,0,0
selected8_cancel_on_victim_store_v1,4,12288,0,12288,0,0
selected8_cancel_on_victim_store_v1,5,143360,0,42768,100592,0
selected8_cancel_on_victim_store_v1,6,77824,6144,0,71680,0
selected8_cancel_on_victim_store_v1,7,24576,0,0,24576,0
selected8_cancel_on_victim_store_v1,8,12288,0,0,12288,0
