policy,kernel_id,requests,source_read_sectors,source_write_sectors,source_atomic_sectors,dirty_update_sectors,read_hits,read_misses,atomic_hits,atomic_misses,read_B,write_B,victim_lines,dirty_entry,dirty_created,redirty,dirty_evicted,cleaned_retained,dirty_exit,request_digest,tag_digest,read_state_equal,outcome_differences,victim_tag_differences,incomplete_victim_sectors,missing_victim_bytes,residual_B
disabled,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1229824,141312,0,143360,0,38432,0,104928,13435660205288060419,13919902890688087943,NOT_CHECKED,0,0,0,0,0
phase11,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,1950208,141312,0,143360,0,2448,58496,82416,13435660205288060419,10937289351934012439,NOT_CHECKED,0,16140,0,0,0
clean_q16,1,5304320,5160960,143360,0,143360,3428352,1732608,0,0,55443456,203264,141312,0,143360,0,6352,0,137008,13435660205288060419,3681151243612529395,NOT_CHECKED,0,29300,0,0,0
disabled,2,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
phase11,2,221184,143360,77824,0,77824,104272,39088,0,0,1250816,500736,27692,82416,71680,6144,2968,12680,138448,8154792122288660547,4151315022188808439,NOT_CHECKED,3680,1982,0,0,0
clean_q16,2,221184,143360,77824,0,77824,120600,22760,0,0,728320,525056,23610,137008,71680,6144,16408,0,192280,8154792122288660547,10989903781513589544,NOT_CHECKED,20008,8374,0,0,0
disabled,3,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,221184,172272,24576,0,0,0,196848,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
phase11,3,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,1777152,221184,138448,24576,0,0,55536,107488,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
clean_q16,3,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,221184,192280,24576,0,0,0,216856,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
disabled,4,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,196848,12288,0,0,0,209136,16790698996111573635,1867059314827627459,NOT_CHECKED,0,0,0,0,0
phase11,4,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,107488,12288,0,0,0,119776,16790698996111573635,1867059314827627459,NOT_CHECKED,0,0,0,0,0
clean_q16,4,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,216856,12288,0,0,0,229144,16790698996111573635,1867059314827627459,NOT_CHECKED,0,0,0,0,0
disabled,5,5304320,5160960,143360,0,143360,3429184,1731776,0,0,55416832,7922176,464416,209136,143360,0,247568,0,104928,13435660205288060419,11146585881686354643,NOT_CHECKED,0,0,0,0,0
phase11,5,5304320,5160960,143360,0,143360,3429184,1731776,0,0,55416832,5794688,464416,119776,143360,0,4432,176652,82052,13435660205288060419,8945081359518130666,NOT_CHECKED,0,27092,0,0,0
clean_q16,5,5304320,5160960,143360,0,143360,3429184,1731776,0,0,55416832,767616,439980,229144,35072,108288,23988,0,240228,13435660205288060419,12266357032193356084,NOT_CHECKED,102864,368632,0,0,0
disabled,6,221184,143360,77824,0,77824,100592,42768,0,0,1368576,138752,28612,104928,71680,6144,4336,0,172272,8154792122288660547,1815162950529575267,NOT_CHECKED,0,0,0,0,0
phase11,6,221184,143360,77824,0,77824,103128,40232,0,0,1287424,473728,27978,82052,71680,6144,2460,12344,138928,8154792122288660547,913772130344297655,NOT_CHECKED,2536,1537,0,0,0
clean_q16,6,221184,143360,77824,0,77824,137376,5984,0,0,191488,349312,4415,240228,11676,66148,10916,0,240988,8154792122288660547,9767644497117861791,NOT_CHECKED,96788,26517,0,0,0
disabled,7,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,221184,172272,24576,0,0,0,196848,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
phase11,7,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,1791488,221184,138928,24576,0,0,55984,107520,12140892812639465187,9485951385932866499,NOT_CHECKED,0,0,0,0,0
clean_q16,7,2605056,2580480,24576,0,24576,1720320,860160,0,0,27525120,0,215406,240988,1464,23112,0,0,242452,12140892812639465187,8069085651103910197,NOT_CHECKED,23112,60911,0,0,0
disabled,8,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,196848,12288,0,0,0,209136,3473318008387179907,7671820985213076563,NOT_CHECKED,0,0,0,0,0
phase11,8,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,107520,12288,0,0,0,119808,3473318008387179907,7671820985213076563,NOT_CHECKED,0,0,0,0,0
clean_q16,8,36864,24576,12288,0,12288,24576,0,0,0,0,0,3072,242452,12288,0,0,0,254740,3473318008387179907,7671820985213076563,NOT_CHECKED,0,0,0,0,0
