policy,producer,trigger,reason,sectors,bytes,queue,admission,completion
disabled,1,1,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,1,2,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,1,5,tag_eviction,100592,3218944,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,2,5,tag_eviction,71680,2293760,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,3,5,tag_eviction,24576,786432,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,4,5,tag_eviction,12288,393216,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,5,5,tag_eviction,38432,1229824,NOT_MODELED,NOT_MODELED,NOT_MODELED
disabled,5,6,tag_eviction,4336,138752,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,1,clean_retained,58496,1871872,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,1,tag_eviction,2448,78336,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,2,clean_retained,12680,405760,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,2,tag_eviction,2968,94976,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,3,clean_retained,47616,1523712,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,1,5,clean_retained,19152,612864,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,2,3,clean_retained,7920,253440,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,2,5,clean_retained,63472,2031104,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,2,5,tag_eviction,288,9216,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,3,5,clean_retained,23792,761344,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,3,5,tag_eviction,784,25088,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,4,5,clean_retained,11248,359936,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,4,5,tag_eviction,1040,33280,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,5,5,clean_retained,58988,1887616,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,5,5,tag_eviction,2320,74240,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,5,6,clean_retained,12344,395008,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,5,6,tag_eviction,2460,78720,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,5,7,clean_retained,48080,1538560,NOT_MODELED,NOT_MODELED,NOT_MODELED
phase11,6,7,clean_retained,7904,252928,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,1,1,tag_eviction,6352,203264,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,1,2,tag_eviction,16408,525056,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,1,5,tag_eviction,12312,393984,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,2,5,tag_eviction,11676,373632,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,3,6,tag_eviction,1464,46848,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,4,6,tag_eviction,3468,110976,NOT_MODELED,NOT_MODELED,NOT_MODELED
clean_q16,5,6,tag_eviction,5984,191488,NOT_MODELED,NOT_MODELED,NOT_MODELED
