policy,producer,writes,superseded,emitted,resident,residual
disabled,1,143360,0,143360,0,0
disabled,2,77824,6144,71680,0,0
disabled,3,24576,0,24576,0,0
disabled,4,12288,0,12288,0,0
disabled,5,143360,0,42768,100592,0
disabled,6,77824,6144,0,71680,0
disabled,7,24576,0,0,24576,0
disabled,8,12288,0,0,12288,0
phase11,1,143360,0,143360,0,0
phase11,2,77824,6144,71680,0,0
phase11,3,24576,0,24576,0,0
phase11,4,12288,0,12288,0,0
phase11,5,143360,0,124192,19168,0
phase11,6,77824,6144,7904,63776,0
phase11,7,24576,0,0,24576,0
phase11,8,12288,0,0,12288,0
clean_q16,1,143360,108288,35072,0,0
clean_q16,2,77824,66148,11676,0,0
clean_q16,3,24576,23112,1464,0,0
clean_q16,4,12288,0,3468,8820,0
clean_q16,5,143360,0,5984,137376,0
clean_q16,6,77824,6144,0,71680,0
clean_q16,7,24576,0,0,24576,0
clean_q16,8,12288,0,0,12288,0
