policy,kernel_id,requests,source_read_sectors,source_write_sectors,source_atomic_sectors,dirty_update_sectors,read_hits,read_misses,atomic_hits,atomic_misses,read_B,write_B,victim_lines,dirty_entry,dirty_created,redirty,dirty_evicted,cleaned_retained,dirty_exit,request_digest,tag_digest,read_state_equal,outcome_differences,victim_tag_differences,incomplete_victim_sectors,missing_victim_bytes,residual_B
disabled,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
phase11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
clean_q16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
disabled,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9521559689276547618,18319083513613851713,NOT_CHECKED,0,0,0,0,0
phase11,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9521559689276547618,18319083513613851713,NOT_CHECKED,0,0,0,0,0
clean_q16,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9521559689276547618,18319083513613851713,NOT_CHECKED,0,0,0,0,0
disabled,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
phase11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
clean_q16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
disabled,4,1,0,0,1,1,0,0,0,1,32,0,0,1,0,1,0,0,1,7289244282308958209,13445916361360008193,NOT_CHECKED,0,0,0,0,0
phase11,4,1,0,0,1,1,0,0,0,1,32,0,0,1,0,1,0,0,1,7289244282308958209,13445916361360008193,NOT_CHECKED,0,0,0,0,0
clean_q16,4,1,0,0,1,1,0,0,0,1,32,0,0,1,0,1,0,0,1,7289244282308958209,13445916361360008193,NOT_CHECKED,0,0,0,0,0
disabled,5,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,7289244282308958209,17792161613518582691,NOT_CHECKED,0,0,0,0,0
phase11,5,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,7289244282308958209,17792161613518582691,NOT_CHECKED,0,0,0,0,0
clean_q16,5,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,7289244282308958209,17792161613518582691,NOT_CHECKED,0,0,0,0,0
disabled,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11753875096244137027,17792161613518582691,NOT_CHECKED,0,0,0,0,0
phase11,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11753875096244137027,17792161613518582691,NOT_CHECKED,0,0,0,0,0
clean_q16,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11753875096244137027,17792161613518582691,NOT_CHECKED,0,0,0,0,0
disabled,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
phase11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
clean_q16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1469598103934665603,1469598103934665603,NOT_CHECKED,0,0,0,0,0
